POI_INDEX,TOTAL_REVIEWS,ABOUT_SUMMARY,RANKING,TICKET_INFO,RATES,ADDRESS,PHONE,WEBSITE,TRANSPORTATION_MODE,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
0,873,"作为新加坡最大的酒店，其三座55 层高的塔楼拥有2,560 间豪华客房与套房，所有的客房都可拥览南海或滨海湾以及全新加坡的壮观景色。酒店的各家餐厅可提供各式各样的用餐体验。
",1,空中花园门票：成人23新币，儿童（2-12岁）17新币，65以上老人20新币，住店客人和2岁以下儿童免费,9.2,10 Bayfront Avenue Singapore 018956,4001208768,http://zh.marinabaysands.com,地铁黄线、蓝线，海湾舫(Bayfront),周一至周四9:30-22:00，周五至周日9:30-23:00,2020-02-04 09:08:42.533970
1,907,圣淘沙(Sentosa)是个全方位玩乐休闲的度假胜地，如果时间允许，圣陶沙值得你花上一天时间，慢慢看慢慢玩，充分享受热带岛屿所独有的魅力。这里有纯净的海滩、世界级的旅游胜地、海上运动场所、高尔夫球场和度假休闲中心，是广受欢迎的,2,None,9.1,Not Available,18007368672,http://www.sentosa.com.sg,在怡丰城(Vivo City)L大厅三楼购买车票、乘车。运行时间为7:00-24:00，车票统一为4新币。,Sentosa Boardwalk全天开放，,2020-02-04 09:12:57.870543
2,815,"新加坡环球影城是Universal Studios旗下一家在亚洲的游乐场，里面分为好莱坞，纽约，古埃及，科幻世界，遥远王国等区。来了环球影城一定要体验的是这里世界上最高的双轨过山车，零重力旋转，蛇型旋转，螺旋旋转，垂直回转等保准让你目眩神迷，同时还能感受与对面来车几近碰撞的刺激！当然，不容错过的还有最新打造的变形金刚3D决斗！环球影城内有多家餐厅和纪念品商店，让你在体验刺激之余可以品尝美味，体验购物乐趣。
",3,成人票 76新币；,9.4,8 Sentosa Gateway，Resort World Sentosa，Singapore,+65-65778888,http://www.rwsentosa.com/Homepage/Attractions/UniversalStudiosSingapore,乘地铁东北线或环线在港湾站（HarbourFront）下车，C出口怡丰城（Vivo City），看指示标志，非常清晰醒目。可选择圣淘沙跨海步行道（Sentosa Boadwalk），步行大概10分钟，或三楼转搭圣淘沙捷运（Sentosa Express）入岛。,周一至周日 10:00-19:00,2020-02-04 09:17:35.669468
3,525,"新加坡的新地标，曾赢得了2012年世界最佳建筑奖(Winner of WorldBuilding of the Year 2012)，由温室(花穹和云雾林)、18棵超级树、文化遗产花园、植物世界、蜻蜓湖和翠鸟湖等组成。2014年初还新开了一个适合小朋友玩耍的儿童公园。
",4,温室成人28新币，儿童（3-12岁）15新币；空中栈道成人8新币，儿童（3-12岁）5新币,9.2,"18 Marina Gardens Dr, Singapore 018953",+65-64206848,http://www.gardensbythebay.com.sg,地铁黄线、蓝线，海湾舫站,室外花园5:00-次日凌晨2:00；温室&空中栈道9:00-21:00（最晚售票至20:00，最晚入场时间20:30）,2020-02-04 09:21:35.643215
4,389,"作为亚洲顶级一站式综合娱乐城和独一无二的家庭度假胜地，新加坡圣淘沙名胜世界集吃喝玩乐、购物住宿于一身，让时尚年轻一族、全家大小、企业会奖等都可于此欢度悠闲假期。这里拥有6间有六家风格迥异的酒店、购物街、赌场，环球影城(Universal Studio Singapore)也坐落于此。名胜世界分为两层，地面层有环球影城、海洋馆、多家餐厅；地下层则有赌场、多个奢侈品店。来到新加坡，建议来这个娱乐中心尽情享受一两天的狂欢时间！
",5,可在,8.9,8 Sentosa Gateway Sentosa Island Singapore 098269,+65-65778899,http://www.rwsentosa.com,坐MRT在NE1/CC29 Harbourfront 港湾站下车。再搭乘以下交通工具便可直达圣淘沙名胜世界：,周日至周四10:00-22:30，周五至周六10:00-24:00(个别商铺营业时间有所不同)。,2020-02-04 09:24:07.133473
5,703,"42层楼高的新加坡摩天轮的轮体直径达150米，安置在3层的休闲购物中心楼上，总高度达到165米。这一高度超过了160米高的南昌之星和130米的伦敦眼。28个安装了空调的座舱可以分别容纳28名乘客。摩天轮旋转一周约用30分钟时间。
",6,成人33新加坡元，儿童(3-12岁)21新加坡元，60岁以上的老年人24新加坡元,8.8,30 Raffles Ave，Singapore,+65-63349622,http://www.singaporeflyer.com/zh-hans,公交巴士1N，2N，3N，4N，5N，6N，56，75，77，97，97e，171，195，960，961C，Bef Temasek Ave站；地铁黄线、蓝线，宝门廊(Promenade)地铁站。,8:30-22:30；售票处开放时间为8:00-22:00。,2020-02-04 09:26:05.754439
6,872,克拉克码头是位于新加坡河与里巴巴利(River Valley)路一角的旅游名胜地，是以新加坡第二位总督安德鲁·克拉爵士命名。这里各式酒吧众多，还有著名的珍宝海鲜楼(Jumbo Seafood)可以大快朵颐。这也是体验新加坡夜生活的最佳地点，喜欢喝一杯的朋友们一定要去走一圈。如果你的心脏够强，还可以尝试一下入口处的两个G-MAX Reverse Bungee(逆转蹦极跳)。,7,一般夜店消费为每人20-60新币。G-MAX逆转蹦极跳45新币，MAX组合(G-MAX和G-5)60新币。,8.6,3E River Valley Rd，Singapore,Not Available,https://www.capitaland.com/sg/malls/clarkequay/en.html,地铁紫线，克拉码头站(Clarke Quay)。,一般会在傍晚之后前往，尽情享受新加坡的精彩夜生活，很多夜店会营业到凌晨两三点钟。,2020-02-04 09:29:28.953902
7,470,被誉为全世界最有特色的动物园之一。它采用了大量自然景物将动物和游客隔开，如溪流、石壁、植被等，使之成为一个开放的公园。在这里生活着3000多种动物，有马来虎、金色绢毛猴、猎豹和海狮等等。繁殖长臂巨猿的计划使这种濒临灭绝的动物在这里得以繁衍生息。此动物园的独特之处在于行走在其中就如行走在自然世界里，和动物们近距离接触。,8,成人 33新加坡元；,9.1,80 Mandai Lake Road，Singapore 729826,+65 62693411,http://www.zoo.com.sg,坐公交138、926、927到S'pore Zoological Gdns站即可。,周一至周日 8:30-18:00,2020-02-04 09:33:43.018345
8,1539,"鱼尾狮是新加坡从一个小渔村发展起来的象征，也是新加坡的国家标志性景点。鱼尾狮像坐落于市内新加坡河畔，其设计灵感是来源于《马来纪年》中的一个传说：公元11 世纪，苏门答腊王子桑尼拉乌达玛(Prince Sang Nila Utama)巡视狮城(Singapura)的时候看到了一头狮子。鱼尾狮的狮头即代表那头狮子；鱼尾则象征古城淡马锡(Temasek)(爪哇语意为“海洋”）由此，这两种动物的结合便成为了新加坡的象征。
",9,免费。,8.4,1 Fullerton Singapore 049178,Not Available,http://www.yoursingapore.com/content/traveller/zh/browse/see-and-do/family-fun/attraction/merlion-park.html,地铁绿线、红线，莱佛士坊(Raffles Place),24小时。,2020-02-04 09:36:00.898364
9,181,新加坡滨海湾花园里最引人注目的所在，当属巨大的树形结构，它们高度在25米至50米之间，被称之为“超级树”。超级树的树梢有小酒馆，旅行者不仅可以歇脚喝杯新加坡司令，还能够领略滨海湾和周围花园的精致。这些高耸的超级树，还被“空中栈道”连接在一起，让旅行者能够居高临下，欣赏花园的独特美景。,10,空中栈道成人8新加坡元，儿童(3-12岁)5新加坡元。,9.2,"18 Marina Gardens Drive, Singapore 018953",+65-64206848,http://www.gardensbythebay.com.sg/,在滨海湾花园内。,9:00-21:00 (最晚售票至20:00，最晚入场时间20:30)。,2020-02-04 09:43:09.663586
10,1000,"乌节路是新加坡赫赫有名的购物街，街道两侧十三余家大型购物中心鳞次栉比，从奢侈品到古董艺术品、从电子产品到时尚潮牌。对于旅行者来说，在乌节路血拼几乎可以满足你的所有购物需求。就算不是纯粹的“购物狂”，在这里欣赏特色的建筑、品尝地道的美食，也是个不错的选择。
",11,None,8.3,Orchard Rd，City Centre,Not Available,http://www.orchardroad.org/,坐MRT到NS22 Orchard(乌节路)或者NS23 Somerset(索美塞)站,大部分店铺10:00-22:00,2020-02-04 09:44:09.178325
11,353,"始建于1822年的新加坡植物园，邻近新加坡市中心，占地64公顷，种植着众多珍贵品种，是新加坡的一个缩影。这里种有鸡蛋花、玫瑰、蕨类植物、沙漠植物等，也包括了许多濒临灭绝的品种，体现了新加坡植物园的专业性和多样化，当地人喜欢在园内散步、野餐、跑步, 甚至拍摄婚纱照。
",12,植物园免费；国立兰花园成人5新币，60岁以上老人1新币，12岁以下儿童免费,8.9,1 Cluny Road，Singapore，259569,+65-64717361,http://www.sbg.org.sg,地铁黄线、蓝线，植物园（Botanic Garden）,5:00-24:00，国立兰花园开放时间为8:30-19:00,2020-02-04 09:49:06.030526
12,243,"莱佛士酒店(Raffles Hotel)被誉为新加坡殖民史的缩影，以新加坡的创始人莱佛士爵士命名，是6星级酒店，于1887年12月1日正式开业。
",13,None,8.8,1 Beach Road Singapore 189673,+65-63371886,http://www.raffles.com/singapore,地铁绿线、红线，政府大厦（City Hall）,Not Available,2020-02-04 09:50:49.776659
13,890,作为新加坡的标志，鱼尾狮是圣淘沙上最著名的景点。其实新加坡最著名的鱼尾狮像有两座，一座是在浮尔顿酒店门前的鱼尾狮公园的那座，另一座便是在圣淘沙公园里的这座，高达37米，登上塔顶可以360度观赏新加坡的美丽风光，甚至还能远眺到远处的几座小岛。（注意，目前该塔已经永久关闭，等待拆除）,14,None,8.0,"30 Imbiah Rd, 新加坡 099705",Not Available,http://merlion.sentosa.com.sg/,乘坐圣淘沙捷运，在英比奥(Imbiah)下车，按指示标识步行10分钟即可。,Not Available,2020-02-04 09:52:05.720154
14,341,"滨海艺术中心是新加坡首屈一指的艺术表演场地。造型独特的圆顶为它赢得了“榴莲”的称号。滨海艺术中心毗邻滨海湾，艺术中心内有音乐厅、剧院、演奏厅和排练室，还有户外表演空间。此外，这里还有购物中心、国际风味餐馆及新加坡首家艺术图书馆——滨海艺术中心图书馆，馆内收藏了大量关于音乐、舞蹈、电影和戏剧的书籍和多媒体资料。
",15,有导游成人10新加坡元，学生(4岁以上)8新加坡元,8.4,1 Esplanade Drive Singapore 038981,+65-68288377,http://www.esplanade.com/index.jsp,地铁黄线，滨海中心（Esplanade）,周一至周五10:00-20:00，周六11:00-20:00，周日关闭,2020-02-04 09:56:48.349686
15,508,新加坡夜间野生动物园(Night Safari)是世界首家于夜间供游客游览的野生动物园，它不同于其它夜间有照明的普通动物园，也不是那种可在世界上其它动物园见到的现代化夜间生物馆。游客可在夜间于热带丛林中观赏野生动物，从而获得独特的体验。可坐乘坐小火车游览，整个车程大约45分钟，有英语解说；也可以步行游览。每晚19:30、20:30、21:30 及周五、周六或公共节日前夜的22:30都有精彩的动物表演。。,16,票价包含小火车，成人45新币，儿童（3-12岁）30新币（包含英文小货车和解说），选择中文或日文解说额外费用 10新币/人。,8.3,80 Mandai Lake Road Singapore729826,+65-62693411,http://www.nightsafari.com.sg,搭乘地铁红线，宏茂桥（Ang Mo Kio）下车，换公交138路可以到达；Singapore Attractions Express Service的车也能到达。单程成人6新币，儿童3新币；一日票成人15新币，儿童7.5新币,19:15-0:00,2020-02-04 09:58:45.245307
16,139,"新加坡河是新加坡主要的河流之一，总长3公里，贯穿于整个城市的新加坡河是新加坡的生命之河，早期移民都是依靠这条河流来维持生计。
",17,追溯新加坡历史的巡游之旅：成人15 新元，儿童(3-12岁)8 新元,8.5,Not Available,Not Available,Not Available,近绿线莱佛士坊地铁站。,Not Available,2020-02-04 10:01:46.480457
17,331,连接滨海湾(Marina Bay)与滨海中心(Marina Centre)的螺旋桥(Helix Bridge) 被誉为新加坡的又一座地标建筑。螺旋桥于 2010 年 4 月 24 日正式通行，这座长 280 米的步行通道(新加坡最长步道)是世界上首座曲线桥。借用DNA的结构，然而设计灵感更多源于亚洲文化中的阴阳学说，据说可为滨海湾(Marina Bay)带来财富、幸福与繁荣，象征了新加坡“生生不息”。从视觉上来说，螺旋桥与右侧的滨海湾金沙酒店、左侧的新加坡摩天轮，是一组充满现代艺术气息的建筑。白天从桥上穿梭，可以眺望新加坡河、政府大厦地区和滨海湾地区，与慢跑的当地人擦肩而过；当夜间华灯初上，螺旋桥也被各色灯光点缀地异常迷人，连地面都有可爱梦幻的小灯。螺旋桥不仅有观赏作用，也是连接鱼尾狮、滨海艺术中心和滨海湾金沙酒店的通道。,18,None,8.2,Linking between Marina Bay and Marina Centre Singapore 038981,Not Available,http://www.yoursingapore.com,从滨海湾金沙酒店步行1分钟到达，从滨海艺术中心步行10分钟到达,Not Available,2020-02-04 10:02:34.792046
18,417,"早在1819年英国人来佛士登陆新加坡前，中国南来的劳工已在这里从事槟榔与胡椒的种植。之后，从中国南来的华人越来越多，来佛士索性把新加坡河西南部沿驳船码头一带的地区划为华人居住区。在当年，新加坡还没有自来水设备，全市所需要的水，都得用牛车自安祥山和史必灵路的水井汲水载到此，于是这个以牛车载水供应用水的地区就称为牛车水。
",19,成人15新币，儿童（3-12岁）11新币,7.9,48 Pagoda St Singapore 059207,+65-62443928,http://www.chinatownheritagecentre.sg,地铁紫线、蓝线，牛车水（Chinatown）,9:00-20:00，最晚入场时间19:00,2020-02-04 10:04:33.675360
19,232,新加坡佛牙寺龙华院 (Buddha Tooth Relic Temple & Museum) 位于牛车水中心地区，是一座气势恢宏的寺院，采用了唐代的建筑风格与元素，内部装饰也惊人得华丽。这里展现了新加坡宗教艺术与文化，寺中供奉了佛教徒的圣物—佛牙舍利，置于由信徒捐资打造的重达 320 千克的金制舍利塔之中。,20,免费,8.5,288 South Bridge Road  Singapore 058840,Not Available,http://www.btrts.org.sg,地铁紫线、蓝线，牛车水（Chinatown）,观看佛牙9:00-18:00；佛教文化博物馆与文物馆8:00-18:00；著名僧伽纪念馆7:00-19:00,2020-02-04 10:07:14.991403
20,168,全球最大的海洋馆。馆内的海洋生物是按地理位置来分布，从卡里马塔海峡和爪哇海、马六甲海鲜和安达曼海、孟加拉湾和拉克代夫海、波斯湾和阿拉伯海、红海、东非，到南中国海，完成了跨越全球的海洋旅程。海洋馆最大的特色是全球最大的海洋之窗，坐在巨大的玻璃窗前，看着游弋的各种鱼类，你会为奥妙多姿的海中奇境所震撼。,22,成人 34新币；儿童(4-12岁 )24新币；60岁以上的老年人 24新币。,8.8,"8 Sentosa Gateway, Sentosa Island, 新加坡 098269",65-65778888,http://www.rwsentosa.com,海洋馆属于圣淘沙名胜世界，到达方式一致。,周一至周日10:00-19:00,2020-02-04 10:08:37.075959
21,187,圣安德烈教堂是新加坡规模最大的圣公会教堂，也是新加坡最珍贵的建筑作品之一。现存的圣安德烈教堂在原来的建筑遭受两次雷击之后，由Ronald McPherson 上校设计，于1857 年建成的，因此具有浓厚的新哥特式建筑风格；在1973 年它被正式列为国家纪念碑，高耸的尖塔，及其光泽的白色外观，使其在这一片区域独放异彩。,21,免费。,8.6,11 St Andrew's Rd Singapore 178959,+65-63376104,http://www.livingstreams.org.sg/sac,地铁绿线、红线，政府大厦（City Hall）,周一至周六9:00-17:00（周三9:45开放），周日9:00-13:30,2020-02-04 10:09:46.298770
22,186,哈芝巷是,23,None,8.3,Haji Lane，Singapore,Not Available,Not Available,近绿线武吉士地铁站。,24小时。,2020-02-04 10:11:06.415203
23,150,新加坡总统府名为Istana，在马来语中是皇宫的之意，迄今已有140年历史，其前身曾经是英殖民期间修建的一座白色三层官邸。戒备森严的新加坡总统府汇集了多种建筑风格，四周有雕刻精美的珠子，极富古典韵味。,24,None,8.3,"Orchard Road, Singapore",006567375522,http://www.istana.gov.sg,MRT: 多美歌站(Dhoby Ghaut),Not Available,2020-02-04 10:12:18.507955
24,106,"艺术科学博物馆为滨海湾金沙的景点之一，博物馆深刻探索了具有创意思维的人士拥有哪些推动力、如何获得推动力、如何使用技巧以及我们周遭的世界如何因其而发生改变。 艺术科学博物馆举办了各类展览和节目，通过结合优美设计、生动内容和知识讨论向人们述说着这些创作故事，以激励我们所有人的创造性。
",25,参观艺术科学博物馆期间，您还可享受灵活的超值服务。 请选择您要参观的巡游展。 利用同一天可二次进入博物馆的便利，您可以在多个展览之间稍事休息，以享用午餐、晚餐和购物。具体票价及优惠信息可参考官网http://zh.marinabaysands.com/singapore-museum/,8.4,Not Available,+65 6688 8328,http://zh.marinabaysands.com/singapore-museum/,Not Available,每日： 上午 10:00 至晚上 7:00,2020-02-04 10:13:16.172606
25,775,"小印度是新加坡印度族群的聚集地，犹如印度的缩影。在屠妖节(Deepavali)，即兴都教光节(Hindu Festival of Lights)，小印度被装点成金碧辉煌的神话世界。
",26,免费,7.5,"Serangoon Rd, 新加坡",+65-62980081,Not Available,地铁：地铁紫线，小印度站(Little India);公交车：在乌节路(Orchard Road)乘新巴64号、65号或111号公共汽车到实龙岗路。,最好是晚上去，但是要注意避开周六和周日的晚上，因为那两天是当地的印度、孟加拉和斯里兰卡男人聚集的时间。,2020-02-04 10:13:52.717275
26,133,新加坡国家博物馆建于1849年，是新加坡历史最久远的博物馆。馆内主要展示新加坡历史，翻修后增设新加坡历史馆、新加坡文化生活馆和临时展厅，人们参观历史馆时，可以通过随身佩带的讲解机了解展览品背后的历史故事；而部分展览品的原使用者，也会通过小屏幕亲自讲述它们所经历的新加坡历史。 另外，在新加坡文化生活馆中，更是保留了新加坡本土多元种族、多元文化风格，让人们从美食、时尚、影片和摄影这四个方面，去认识新加坡的历史面貌。这里还有一些互动展示项目，如触摸屏、老电影胶片、口述历史等，新奇而印象深刻。,27,成人：15 新元  学生（持证）老人（60以上）：10新元,8.5,93 Stamford Rd Singapore 178897,+65 6332 3659,http://nationalmuseum.sg/,地铁：NS25/EW13 City Hall 或者到 NS24/NE6 Dhoby Ghaut 出站后步行约10分钟。,新加坡历史展馆   10:00-18:00  最晚入场 17:30,2020-02-04 10:18:23.915493
27,171,西罗索海滩位于南中国海畔，白天和夜间都有其独特的风景。白天可以游泳、沙滩排球、晒日光浴；夜晚可以在酒吧、餐厅聊天、畅饮、享受音乐。西罗索沙滩还经常有一些活动，比如音乐节、马拉松、Party，如果恰巧赶上，也是独特的体验。,28,免费。,8.3,"Siloso Beach Sentosa Island,Singapore",Not Available,Not Available,乘坐圣淘沙捷运，在海滩站(Beach)下车，按指示标识步行10分钟即可。,全天。,2020-02-04 10:19:19.874542
28,264,"马里安曼兴都庙(Sri Mariamman Temple) ，新加坡最古老的印度兴都庙，历史最早可追溯至1827年。这座庙供奉着马里安曼女神，其治愈疾病的能力被人们所熟知。一座真正德拉威 (Dravidian)风格设计的兴都庙，最初于 1827 年建成，现今已被正式列为新加坡国家古迹。人们络绎不绝的来此参拜，因为相信这里的神像有着治愈疾病的效力。
",29,免费。拍照票3新币。,7.8,244 South Bridge Rd Singapore 058793（位于宝塔街的尽头）,+65-63376104,http://heb.gov.sg/,地铁紫线、蓝线，牛车水(Chinatown),周一至周六9:00-17:00；周三9:45-17:00；周日9:00-13:30。,2020-02-04 10:20:26.764695
29,161,苏丹回教堂建于18世纪初期，是新加坡最重要的清真寺之一。1975年3月14日被列为新加坡国家古迹。可以在巴梭拉街(Bussorah Street) 的尽头观察它，堪称最佳角度，而这条街已成为众多咖啡馆、古董商店、传统服饰店的聚集地。,30,免费。,8.1,3 Muscat Street，Singapore,+65-62934405,http://www.mosque.org.sg/ monuments/sultan.html,坐MRT到EW12 Bugis站。,周六至周四9:00-13:00。,2020-02-04 10:22:08.953841
30,203,也称为甘榜格南街，是以生长在沼泽地周围的树木Gelam树命名的。这里是新加坡穆斯林的聚居区。每年伊斯兰教先知穆罕默德诞辰都在这里举行街头庆祝活动，来自岛国各地的伊斯兰教徒齐集干达哈街，好像嘉年华会般热闹。阿拉伯街两边有很多回教特色的商店、建筑，著名的苏丹回教堂也在这条街上。,31,None,8.0,Arab Street,Not Available,Not Available,坐MRT到EW12 Bugis，出站后向东北方向走约5分钟即可到达。,全天,2020-02-04 10:23:02.914362
31,114,2001年开业，浮尔顿酒店是一个融简朴、舒适和高贵等特质于一身的经典杰作。酒店前身为建于1928年的浮尔顿大厦，悠久的历史、新古典建筑风格和得天独厚的战略位置使其成为众所瞩目的焦点。酒店位于市民区的黄金地段，与其深厚的历史积淀相辅相成。座落于新加坡金融商业区莱佛士坊中心地带，毗邻新加坡繁华的滨水娱乐地带，驳船码头以及文化活动胜地维多利亚剧院及维多利亚音乐会堂，滨海艺术中心以及亚洲文明博物馆，距离主要的购物区仅几步之遥。自2001年开业以来，浮尔顿酒店曾获多项殊荣。其中，被评为2005年度《nast traveler》杂志金奖名单新加坡最佳酒店、在2004年度“《nast traveler》读者奖”中名列最佳酒店（亚洲区域）第三名等，名列2010年《康德纳斯旅行者》金榜的世界顶级酒店。这家拥有400间优质客房的豪华酒店成功地融合了新老文化，可为商务和休闲旅客提供一种无以伦比的世界级住宿体验。,32,None,8.6,1 Fullerton Square，Singapore 049178,+65- 63338388,http://www.fullertonhotel.com,从鱼尾狮公园向西步行2分钟到达,Not Available,2020-02-04 10:24:07.227293
32,88,旧国会大厦建于1827年，是新加坡最古老的政府建筑物，国会大厦是新加坡民选代表的议会场所。国会开会时开放给公众旁听，同时提供四种官方语言(英语、马来语、华语和淡米尔语)的翻译。这座由乔治科尔门(George Coleman) 所设计与建造的殖民地式建筑物昔日是新加坡民主制度下的国会大厦，现已改为旧国会大厦艺术之家。,33,门票8新加坡元，其中包括短片与饮料费用。,8.1,1 Old Parliament Lane Singapore 179429,+65-63326900,http://www.theartshouse.com.sg,地铁绿线、红线，莱佛士坊（Raffles Place）,周一至周五10:00-20:00，周六11:00-20:00，周日闭馆,2020-02-04 10:24:45.832782
33,81,"这是新加坡当地人非常喜欢的休闲之地，这里有洁净的沙滩、精彩的娱乐活动，各式餐厅、酒吧和咖啡馆，很多人在结束了一天的辛勤工作后，会来到这里运动，放松心情，再到餐馆中大快朵颐。
",34,免费。,8.7,East Coast Park，Singapore,+65-64400046,http://www.nparks.gov.sg,"坐MRT到EW7 Eunos 然后转13路公交车到Blk 34站,下车后从天桥或者地下道到东海岸公园。",每天7:00-19:00。,2020-02-04 10:25:12.141353
34,84,新加坡艺术博物馆又被称为新加坡美术馆，这里的前身是由百多年历史的旧校舍圣约瑟书院改建而成的。开放于1996年，馆藏超过400件艺术品，收藏了世界上最大规模的当地和现代东南亚艺术品。无论是展览规模、全天候与视像画廊现代设备，都是东南亚领先的艺术馆。两年一度的新加坡双年展(Singapore Biennale)，就是由新加坡美术馆主办的全球艺术盛事。,35,成人10新加坡元，儿童8新加坡元。,8.2,"8 Queen St, Singapore 189555",+65 6589 9580,https://www.singaporeartmuseum.sg/,坐MRT到CC2 Bras Basah，出站后向北走约5分钟即是。,周一~周日10:00-19:00；周五10:00-21:00,2020-02-04 10:25:44.001117
35,15,Not Available,37,None,8.5,圣淘沙关口30号(Imbiah Lookout),Not Available,Not Available,乘坐圣淘沙捷运 英比奥(Imbiah)，按指示标识步 行10分钟即可,10:00-20:00（最后入场时间为19:30）,2020-02-04 10:26:13.223712
36,115,这里是新加坡南部最高山，有风景秀丽的花园。是俯瞰,36,免费入内,8.2,Mount Faber Road Singapore 099201,+65-62708855,http://www.mountfaber.com.sg,地铁黄线、紫线，港湾站(HarbourFront)。,周一至周日 8:45-22:00,2020-02-04 10:26:25.142298
37,44,"南洋理工大学是新加坡政府建立的顶尖大学，1991年在原南洋大学校址“云南园”上建立，它的前身是1981年成立的南洋理工学院，更早的历史可追溯到1955年由东南亚民间发动筹款运动而创办起来的南洋大学。
",38,None,9.3,"Nanyang Technological University, 南洋理工大学639798",Not Available,http://www.ntu.edu.sg,Not Available,Not Available,2020-02-04 10:27:05.827970
39,64,丹达乌他帕尼兴都庙(Sri Thandayuthapani Temple)是新加坡兴都教民心目中最重要的场所之一。这座南印度风格的庙宇建于 1859 年，并于 1983 年重建。它的独特之处在于屋顶镶嵌的 48 块玻璃，这样的角度刚好能让阳光从各方向照射进来。2014年10月20日，丹达乌他帕尼庙获新加坡国家文物局列为该国第67个国家古迹，为首个挂有国家徽章古迹牌匾的国家古迹。,40,免费，但是要进入参观时，请先征得当地人的同意。,8.2,"15, Tank Road, Singapore 238065",+65 6737 9393,http://www.sttemple.com,坐MRT到CC1/NE6/NS24 Dhoby Ghaut， 出站向南走约5分钟即到。,8:00-20:00,2020-02-04 10:32:32.030989
40,54,白色的几座塔楼中竖立着一座黑色的莱佛士纪念雕像，旁边有维多利亚音乐厅和剧院，前方的新加坡河上时常有游弋着的游船，相当安静惬意的一片区域。莱佛士爵士是英国殖民时期重要的政治家。新加坡海港城市的创建者，英国远东殖民帝国的奠基人之一。他的主要贡献包括把新加坡建立为欧洲与亚洲之间的国际港口。,42,None,7.8,Not Available,Not Available,Not Available,位于皇后坊(Empress Place)大楼后面的沿河地带，近亚洲文明博物馆。,Not Available,2020-02-04 10:32:57.335266
41,70,赞美广场 (chijmes) 意为圣婴耶稣的修道院，毗邻莱佛士酒店，充满着伦敦的 Covent Garden 田园风光气息，是新加坡重要的历史古迹之一。附近可以就餐、购物和娱乐。由教堂改建的Chijmes大厅经常演出音乐剧、独唱会及其它戏剧。,43,免费。,7.9,30 Victoria Street，Singapore,+65 6337 7810,http://www.chijmes.com.sg,坐MRT到EW13/NS25下车。,全天。,2020-02-04 10:33:19.862611
42,37,"万里胡姬花公园主要由古香花园(Vintage Garden)、水上花园(Water Garden)和热带水果园(Tropical Fruit Orchard)三部分组成,园内展示了包括新加坡国花卓锦万黛兰在内的各种各样的胡姬花和多种世界名贵盆栽植物，是新加坡最著名园艺旅游圣地之一。",44,成人3新币，儿童1新币。,8.7,200 Mandai Lake Rd,006562691036,Not Available,坐公交车138/927到Mandai Orchid Gdn站，下车即是。,10:00-19:00,2020-02-04 10:34:11.692492
43,62,位于新加坡市区内的一座山地公园，但对于新加坡原住民来说，这座小山有着很重要的意义。福康宁山的历史可以追溯到14世纪，据历史记载这里是当时岛国苏丹皇室的所在地。现在，这里还会不定期地举办一些很high的音乐活动。,45,免费。,8.4,51 Canning Rise，Singapore,+65-63321302,Not Available,坐MRT到NS24/NE6/CC1 Dhoby Ghaut ，出站后向南走约5分钟。,全天。,2020-02-04 10:34:32.575880
44,15,Not Available,46,None,7.6,"1 Fullerton Rd, 新加坡 049213",18007368672,Not Available,Not Available,Not Available,2020-02-04 10:34:55.013503
